Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Channel Islands,CHI,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Air transport, passengers carried",IS.AIR.PSGR,1363600,1405900,1905800,2360000,2961700,3197200,3621900,4610000,5149800,5187700,5174876,5315623,4986727,5246787,5463753,5939020,6016649,7190963,8021939,8097314,9269026,10949863,12892856,13806283,14347893,15006762,16362437,17664974,19517185,21197759,8019753
China,CHN,"Air transport, passengers carried",IS.AIR.PSGR,16596100,19520000,27345000,31312500,37601000,47564500,51770100,52277000,53234000,55853100,61891807,72660653,83671798,86040642,119789024,136721623,158013351,183613132,191001220,229062099,266293020,292160158,318475924,352795296,390878784,436183969,487960477,551234509,611439830,659629070,417255845
Cote d'Ivoire,CIV,"Air transport, passengers carried",IS.AIR.PSGR,200200,177700,195100,186200,156900,174700,178700,157600,162400,259600,107979,46364,,,,,,,,,516085,89791.86777,39485.4722,234996,237120,642893,667062,808471,825257,748540,322841
Cameroon,CMR,"Air transport, passengers carried",IS.AIR.PSGR,284200,356600,363100,274800,295000,345000,361800,279000,277900,292600,273000,324114,243122,315100,355610,384059,424794,453051,470598,466050,0,171007.2,248027.2,287208,275760,267208,343592,236000,265136,83882,40884
"Congo, Dem. Rep.",COD,"Air transport, passengers carried",IS.AIR.PSGR,206700,150400,116400,83700,177600,,,,,,,95200,,,,,,,,,210913,252408.1796,471536.2046,456000,456228,476353,416033,959738,587653.0308,550457.8926,277588.159
"Congo, Rep.",COG,"Air transport, passengers carried",IS.AIR.PSGR,238900,228900,228900,230800,231800,266900,252900,244500,240900,132200,127541,95188,46967,52268,,,,,,,341640.4292,438178.4704,703966.4211,652452,553944,657927,577780,333899,508978.9399,541787.1369,226389.879
Colombia,COL,"Air transport, passengers carried",IS.AIR.PSGR,5266700,5539900,6232100,6930200,7686500,7863300,8342100,9188900,9289700,8619200,8568734,9604390,9424850,9142585,8829094,9984424,10616356,11630594,12338706,12115330,16932435,18768534.77,22012458.84,26929238,28675159,30909723,32262658,32504898,33704037,37031843,12273939.72
Comoros,COM,"Air transport, passengers carried",IS.AIR.PSGR,26000,26000,26000,26000,26000,27300,27300,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,"Air transport, passengers carried",IS.AIR.PSGR,176900,96000,100000,100000,118300,124200,129200,237000,236100,252300,263547,242799,236577,252751,560000,690000,753511,793153,807957,776469,570553,620394.7511,597982.6004,600000,590304,548908,565810,336718,561944,675482,313225.095
Costa Rica,CRI,"Air transport, passengers carried",IS.AIR.PSGR,467000,507600,622800,690300,773200,870400,917900,991500,1169500,1055300,877833,737895,675146,749885,901402,953217,943143,1017054,1023665,932581,1697893.889,1829514.947,1770111.378,1498996,1427414,1525922,1572605,1822880,1950049,2033146,455830.6
Caribbean small states,CSS,"Air transport, passengers carried",IS.AIR.PSGR,4412200,4461200,4324000,4455100,4779300,5123200,4681700,4566100,4607700,6250100,6769190,6579219,6306172,6210378,5043466,4742561,4645698,4918479,4978399,4424144,4996231,5829441.176,5920044.896,5475499.6,6162872.329,5845803,5986259,5816851,6645652.514,,
Cuba,CUB,"Air transport, passengers carried",IS.AIR.PSGR,1137500,830600,733000,624100,730900,823700,928700,1117000,1138400,1259000,1007193,882309,588700,610957,743256,812781,811559,857213,861352,780484,1578011.789,1478595.959,1313502.684,1395072,1135200,1294458,1333078,942785,563540,457130,99838
Curacao,CUW,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"Air transport, passengers carried",IS.AIR.PSGR,813700,819700,946800,1011000,1233900,1218900,1214100,1278100,1346400,1336700,1396076,1503427,1704780,1882981,2013254,1920516,1944138,2071648,2111205,1943949,1583627,1263117,1285976,1211208,688368,23405,224653,711554,401408,395436,104559
Czechia,CZE,"Air transport, passengers carried",IS.AIR.PSGR,1095700,837400,973800,1024900,1071600,1284600,1393600,1447800,1600800,1852600,2229216,2565808,2808793,3391474,4219478,4706226,4921600,4869586,4974879,5048360,5145187,4902816,3594882,5186676,5009995,3378028,4048658,5450671,8851291,5446163.2,1358558.181
Germany,DEU,"Air transport, passengers carried",IS.AIR.PSGR,22146900,24829500,27577800,29362600,32465300,34680100,40118400,45804500,49279800,54652800,57962865,56389365,61889678,72693124,82099657,90788848,99647314,106101747,107941584,103396735,97330734.28,107042775.8,105978474.5,109062321.5,112353098.6,117222850,116713587,114160685,109796202.2,109633750.7,25758450
Djibouti,DJI,"Air transport, passengers carried",IS.AIR.PSGR,130500,130500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,"Air transport, passengers carried",IS.AIR.PSGR,4840300,4582000,4826800,5077900,5381000,5689300,5892000,6236400,5946600,5767700,5922623,6382092,6322432,5886037,6428701,,,,,,,,,,,,,,,50957868.6,14041322.8
Dominican Republic,DOM,"Air transport, passengers carried",IS.AIR.PSGR,718000,264200,322900,327900,300200,67400,29500,33600,33500,10400,,,,,,,,,,,19167,28232.1,28442.05,20004,16128,14463,11903,,,113752,31391
Algeria,DZA,"Air transport, passengers carried",IS.AIR.PSGR,3748000,3385000,3551100,3254500,3241000,3477800,3494100,3517700,3381800,2936800,2997480,3419249,3002232,3292815,3236364,3037298,2899722,2813018,2884506,4370917,3372283,3543663,4082595,4492436.963,5021288.963,5400896,6093416,6230157,6442442,6752002,1460077
East Asia & Pacific (excluding high income),EAP,"Air transport, passengers carried",IS.AIR.PSGR,52224800,57949100,69094200,77190600,88857400,104320600,110862300,107721300,106380600,105525000,117475001,131899488,144954360,145986148,202945818,220887277,244449016,277768225,287719256,326293542,430864598.6,482521208.8,526101395.4,579867089.8,640242859.1,708798867,790494215,881698293,964324620.1,1003476407,546800750.4
Early-demographic dividend,EAR,"Air transport, passengers carried",IS.AIR.PSGR,109133700,105647800,118459100,121137600,131391900,134162100,139817900,146347300,144205700,142004200,149713878,160513615,149570435,160293889,190654278,202084384,224730790,245988633,244712190,259076645,370779756.7,411779408.1,443984379.7,473370786.9,518240248.9,566264222,621441555,679891167.7,741133708.2,734632530.4,296581327
East Asia & Pacific,EAS,"Air transport, passengers carried",IS.AIR.PSGR,174905500,188860300,208797800,221775804,243006604,273666300,292148204,298428300,300493300,312218196,337766614,351529526,374787907,366358229,429868117,454655578,486160240,523755806,535907588,555699740,726070353.1,769209920.7,809282604.5,893899315.8,965572758.2,1052102292,1155866926,1266613885,1363722227,1415410517,674706252.4
Europe & Central Asia (excluding high income),ECA,"Air transport, passengers carried",IS.AIR.PSGR,,,84184600,52000800,44991700,44020300,39282500,37406100,32974200,35972000,37355021,39490872,40166777,43466348,51804644,55933498,61390591,69092668,78070042,79638721,106051571,123846313.5,143043780.4,161627137.8,179004742,197093753,203669893,227956251,247065916.5,254542101.3,120285384.9
Europe & Central Asia,ECS,"Air transport, passengers carried",IS.AIR.PSGR,,342307200,313517500,290815100,302847300,318012844.1,339543200,361142200,368219300,398388896,428305223,427544242,426545437,460194210,506766844,518261374,559653407,607952555,623643998,615350087,671844987.3,728739259.9,749916268.9,778805759.9,823125948.6,886634821,941730493,1015616107,1085617534,1283395612,413202537.4
